Date,Index
6/22/2016,1647.51
6/23/2016,1666.29
6/26/2016,1685.17
6/27/2016,1712.84
6/28/2016,1724.19
6/29/2016,1724.59
6/30/2016,1723.23
7/3/2016,1719.2
7/4/2016,1716.83
7/5/2016,1713.21
7/6/2016,1715.72
7/10/2016,1722.53
7/11/2016,1702.27
7/12/2016,1693.07
7/13/2016,1690.43
7/14/2016,1718.15
7/17/2016,1745.74
7/18/2016,1786.57
7/19/2016,1800.47
7/20/2016,1786.84
7/21/2016,1798.83
7/25/2016,1838.49
7/26/2016,1866.5
7/27/2016,1881.45
7/28/2016,1877.93
7/31/2016,1862.76
8/1/2016,1845.41
8/2/2016,1826.47
8/3/2016,1813.72
8/4/2016,1768.6
8/7/2016,1764.72
8/8/2016,1675.91
8/9/2016,1760.42
8/10/2016,1777.06
8/11/2016,1774.87
8/14/2016,1733.93
8/15/2016,1694.81
8/16/2016,1717.45
8/17/2016,1735.06
8/21/2016,1722.43
8/22/2016,1683.12
8/23/2016,1681.86
8/24/2016,1730.62
8/28/2016,1748.23
8/29/2016,1766.54
8/30/2016,1788.08
8/31/2016,1797.45
9/1/2016,1805.18
9/4/2016,1819.83
9/5/2016,1838.9
9/6/2016,1834.8
9/7/2016,1824.83
9/8/2016,1823.05
9/11/2016,1816.81
9/12/2016,1818.69
9/14/2016,1815.17
9/18/2016,1804.48
9/20/2016,1786.5
9/21/2016,1779.13
9/22/2016,1766.91
9/25/2016,1730.64
9/26/2016,1757.1
9/27/2016,1753.72
9/28/2016,1749.1
9/29/2016,1753.38
10/2/2016,1763.78
10/3/2016,1780.4
10/4/2016,1798.5
10/5/2016,1806.6
10/6/2016,1819.88
10/16/2016,1803.74
10/17/2016,1793.36
10/18/2016,1792.73
10/19/2016,1787.89
10/20/2016,1794.47
10/23/2016,1782.39
10/24/2016,1768.89
10/25/2016,1751
10/26/2016,1753.46
10/27/2016,1759.71
11/3/2016,1762.21
11/7/2016,1749.12
11/8/2016,1724.49
11/9/2016,1696.86
11/10/2016,1697.17
11/13/2016,1700
11/14/2016,1706.28
11/15/2016,1701.91
11/16/2016,1698.9
11/17/2016,1658.08
11/20/2016,1599.62
11/21/2016,1606.29
11/22/2016,1582.47
11/23/2016,1540.01
11/24/2016,1534.03
11/27/2016,1469.48
11/28/2016,1510.16
11/29/2016,1553.68
11/30/2016,1608.33
12/1/2016,1600.49
12/4/2016,1570.95
12/5/2016,1544.6
12/6/2016,1554.51
12/7/2016,1553.9
12/8/2016,1544.68
12/11/2016,1522.8
12/12/2016,1509.43
12/14/2016,1516.08
12/15/2016,1530.06
12/18/2016,1531.35
12/19/2016,1514.88
12/20/2016,1495.99
12/21/2016,1470.63
12/22/2016,1475.41
12/26/2016,1432.57
12/27/2016,1407.53
12/28/2016,1413.15
12/29/2016,1443.38
1/1/2017,1465.72
1/2/2017,1482.85
1/3/2017,1456.82
1/4/2017,1457.82
1/5/2017,1454.14
1/8/2017,1447.45
1/9/2017,1458.97
1/10/2017,1476.9
1/11/2017,1476.51
1/12/2017,1479.86
1/15/2017,1477.72
1/16/2017,1466.09
1/17/2017,1463.04
1/18/2017,1462.23
1/19/2017,1462.56
1/22/2017,1465.84
1/23/2017,1457.88
1/24/2017,1432.99
1/25/2017,1396.61
1/26/2017,1375.14
1/30/2017,1309.7
1/31/2017,1326.6
2/1/2017,1389.83
2/2/2017,1382.45
2/5/2017,1364.5
2/6/2017,1348.84
2/7/2017,1344.6
2/8/2017,1322.98
2/9/2017,1296.23
2/12/2017,1252.5
2/13/2017,1278.98
2/14/2017,1274.97
2/15/2017,1316.8
2/16/2017,1343.85
2/19/2017,1369.35
2/20/2017,1365.11
2/21/2017,1357.57
2/22/2017,1344.11
2/23/2017,1337.46
2/26/2017,1313.01
2/28/2017,1299.29
3/1/2017,1316.8
3/2/2017,1329.41
3/7/2017,1341.56
3/9/2017,1347.53
3/13/2017,1355.23
3/14/2017,1347.09
3/15/2017,1356.13
3/16/2017,1357.34
3/19/2017,1382.19
3/20/2017,1424.38
3/21/2017,1462.23
3/22/2017,1481.08
3/23/2017,1486.04
3/26/2017,1533.83
3/28/2017,1610.62
3/29/2017,1588.29
3/30/2017,1587.64
4/2/2017,1667.11
4/3/2017,1660.52
4/4/2017,1657.02
4/6/2017,1651.04
4/9/2017,1651.6
4/10/2017,1676.22
4/11/2017,1709.82
4/12/2017,1703.07
4/13/2017,1697.13
4/16/2017,1651.61
4/18/2017,1612.04
4/19/2017,1662.02
4/20/2017,1658.34
4/23/2017,1693.72
4/24/2017,1675.78
4/25/2017,1672.38
4/26/2017,1670.3
4/27/2017,1670.62
4/30/2017,1650.78
5/2/2017,1658.33
5/3/2017,1662.38
5/4/2017,1653.18
5/7/2017,1628.98
5/8/2017,1637.3
5/9/2017,1650.81
5/11/2017,1658.58
5/15/2017,1659.23
5/16/2017,1649.24
5/17/2017,1644.26
5/18/2017,1643.87
5/21/2017,1627.24
5/22/2017,1616.4
5/23/2017,1626.51
5/24/2017,1629.58
5/28/2017,1615.58
5/30/2017,1594.43
5/31/2017,1608.11
6/1/2017,1604.31
6/4/2017,1593.81
6/5/2017,1602.65
6/6/2017,1637.37
6/7/2017,1623.13
6/8/2017,1615.19
6/11/2017,1590.49
6/12/2017,1580.52
6/13/2017,1585.15
6/14/2017,1584.49
6/15/2017,1589.59
6/18/2017,1575.98
6/19/2017,1555.16
6/20/2017,1551.07
6/21/2017,1554.69
6/22/2017,1559.49
6/25/2017,1567.72
6/27/2017,1565.09
6/28/2017,1563.81
7/2/2017,1541.82
7/3/2017,1544.29
7/4/2017,1541.28
7/5/2017,1551.06
7/6/2017,1582.11
7/9/2017,1584.15
7/10/2017,1575.22
7/11/2017,1585.01
7/12/2017,1587.56
7/13/2017,1582.67
7/16/2017,1583.57
7/17/2017,1604.15
7/18/2017,1638.41
7/19/2017,1637.27
7/20/2017,1635.75
7/23/2017,1635.56
7/24/2017,1629.08
7/25/2017,1636.19
7/26/2017,1645.03
7/27/2017,1646.53
7/30/2017,1643.28
7/31/2017,1652.69
8/1/2017,1660.25
8/2/2017,1662.74
8/3/2017,1660.58
8/6/2017,1665.05
8/7/2017,1667.94
8/9/2017,1661.72
8/10/2017,1653.53
8/13/2017,1642.13
8/15/2017,1629.16
8/16/2017,1632.66
8/17/2017,1629.75
8/20/2017,1617.97
8/21/2017,1611.57
8/22/2017,1614.05
8/23/2017,1611.27
8/24/2017,1617.81
8/27/2017,1622.32
8/28/2017,1612.91
8/30/2017,1598.36
8/31/2017,1580.03
9/4/2017,1554.56
9/6/2017,1566.5
9/7/2017,1554.55
9/10/2017,1519.66
9/11/2017,1523.26
9/12/2017,1502.2
9/13/2017,1493.2
9/14/2017,1530.31
9/17/2017,1547.94
9/18/2017,1543.7
9/20/2017,1539.81
9/24/2017,1536.92
9/25/2017,1545.44
9/26/2017,1549.46
